Year,Browser,Share
2009,Chrome,3.27
2010,Chrome,10.25
2011,Chrome,21.08
2012,Chrome,33.23
2013,Chrome,42.63
2014,Chrome,48.78
2015,Chrome,54.37
2016,Chrome,61.17
2017,Chrome,63.4
2018,Chrome,68.02
2019,Chrome,69.98
2020,Chrome,68.74
2021,Chrome,67.52
2009,IE,59.71
2010,IE,51.45
2011,IE,42.93
2012,IE,33.74
2013,IE,29.25
2014,IE,23.19
2015,IE,18.88
2016,IE,12.11
2017,IE,8.99
2018,IE,6.64
2019,IE,4.86
2020,IE,2.96
2021,IE,1.61
2009,Firefox,30.48
2010,Firefox,31.27
2011,Firefox,28.2
2012,Firefox,24.15
2013,Firefox,20.82
2014,Firefox,19.57
2015,Firefox,17.54
2016,Firefox,15.45
2017,Firefox,13.9
2018,Firefox,11.03
2019,Firefox,9.5
2020,Firefox,8.72
2021,Firefox,7.81
2009,Safari,3.1
2010,Safari,4.31
2011,Safari,5.33
2012,Safari,6.17
2013,Safari,4.84
2014,Safari,5
2015,Safari,5.06
2016,Safari,4.78
2017,Safari,5.47
2018,Safari,5.38
2019,Safari,6.83
2020,Safari,9
2021,Safari,9.94
2009,Edge Legacy,0
2010,Edge Legacy,0
2011,Edge Legacy,0
2012,Edge Legacy,0
2013,Edge Legacy,0
2014,Edge Legacy,0
2015,Edge Legacy,0.46
2016,Edge Legacy,2.63
2017,Edge Legacy,3.93
2018,Edge Legacy,4.17
2019,Edge Legacy,4.51
2020,Edge Legacy,2.83
2021,Edge Legacy,0.36
2009,Yandex Browser,0
2010,Yandex Browser,0
2011,Yandex Browser,0
2012,Yandex Browser,0.01
2013,Yandex Browser,0.28
2014,Yandex Browser,0.35
2015,Yandex Browser,0.45
2016,Yandex Browser,0.5
2017,Yandex Browser,0.52
2018,Yandex Browser,0.44
2019,Yandex Browser,0.43
2020,Yandex Browser,0.43
2021,Yandex Browser,0.38
2009,Edge,0
2010,Edge,0
2011,Edge,0
2012,Edge,0
2013,Edge,0
2014,Edge,0
2015,Edge,0
2016,Edge,0
2017,Edge,0
2018,Edge,0
2019,Edge,0
2020,Edge,3.19
2021,Edge,8.15
2009,360 Safe Browser,0
2010,360 Safe Browser,0
2011,360 Safe Browser,0
2012,360 Safe Browser,0.13
2013,360 Safe Browser,0.27
2014,360 Safe Browser,0.66
2015,360 Safe Browser,0.3
2016,360 Safe Browser,0.17
2017,360 Safe Browser,0.11
2018,360 Safe Browser,0.06
2019,360 Safe Browser,0.04
2020,360 Safe Browser,0.55
2021,360 Safe Browser,0.69
2009,Maxthon,0.03
2010,Maxthon,0.22
2011,Maxthon,0.15
2012,Maxthon,0.12
2013,Maxthon,0.2
2014,Maxthon,0.26
2015,Maxthon,0.25
2016,Maxthon,0.19
2017,Maxthon,0.14
2018,Maxthon,0.11
2019,Maxthon,0.08
2020,Maxthon,0.07
2021,Maxthon,0.06
2009,Sogou Explorer,0
2010,Sogou Explorer,0
2011,Sogou Explorer,0
2012,Sogou Explorer,0.05
2013,Sogou Explorer,0.17
2014,Sogou Explorer,0.19
2015,Sogou Explorer,0.23
2016,Sogou Explorer,0.16
2017,Sogou Explorer,0.15
2018,Sogou Explorer,0.13
2019,Sogou Explorer,0.13
2020,Sogou Explorer,0.12
2021,Sogou Explorer,0.12
2009,Other,0.13
2010,Other,0.13
2011,Other,0.09
2012,Other,0.19
2013,Other,0.12
2014,Other,0.14
2015,Other,0.11
2016,Other,0.13
2017,Other,0.12
2018,Other,0.13
2019,Other,0.14
2020,Other,0.13
2021,Other,0.14
