Continent,Android,iOS,Samsung,Unknown,Tizen,Linux,KaiOS,Nokia Unknown,Series 40,Windows
India ,95.78,2.99,0,0,0,0,0,0,0,0
United States of America ,42.48,57.18,0,0,0,0,0,0,0,0
Turkey ,85.49,13.87,0,0,0,0,0,0,0,0
Indonesia ,91.14,8.62,0,0,0,0,0,0,0,0
China ,78.03,21.17,0,0,0,0,0,0,0,0
Taiwan ,46.92,51.78,1.29,0,0,0,0,0,0,0
Pakistan ,94.39,4.41,0,0,0,0,0,0,0,0
Poland ,93.33,6.08,0,0,0,0,0,0,0,0
Malaysia ,74.57,23.82,1.57,0,0,0,0,0,0,0
United Kingdom ,49.72,49.69,0,0,0,0,0,0,0,0
Brazil ,86.24,13.44,0,0,0,0,0,0,0,0
South Africa ,84.09,15.49,0,0,0,0,0,0,0,0
Thailand ,71.56,28.22,0,0,0,0,0,0,0,0
Germany ,66.8,32.16,0,0,0,0,0,0,0,0
Mexico ,80.32,19.32,0,0,0,0,0,0,0,0
South Korea ,71.92,27.72,0,0,0,0,0,0,0,0
Spain ,78.16,21.16,0,0,0,0,0,0,0,0
Egypt ,78.06,21.78,0,0,0,0,0,0,0,0
Nepal ,93.04,6.84,0,0,0,0,0,0,0,0
Iran ,93.03,6.66,0,0,0,0,0,0,0,0
Singapore ,72.99,26.02,0,0,0,0,0,0,0,0
Bangladesh ,95.47,3.36,0,0,0,0,0,0,0,0
France ,68.29,31.18,0,0,0,0,0,0,0,0
Canada ,46.46,52.91,0,0,0,0,0,0,0,0
Italy ,76.81,21.75,1.4,0,0,0,0,0,0,0
Argentina ,91.82,7.95,0,0,0,0,0,0,0,0
Philippines ,88.09,11.21,0,0,0,0,0,0,0,0
Australia ,42.53,55.64,1.78,0,0,0,0,0,0,0
Nigeria ,86.2,8.37,0,4.12,0,0,0,0,0,0
Netherlands ,61.66,37.49,0,0,0,0,0,0,0,0
Japan ,32.02,67.82,0,0,0,0,0,0,0,0
Russian Federation ,79.78,19.83,0,0,0,0,0,0,0,0
Hong Kong ,50.69,46.43,2.77,0,0,0,0,0,0,0
Romania ,79.95,19.38,0,0,0,0,0,0,0,0
Colombia ,89.79,9.82,0,0,0,0,0,0,0,0
Sri Lanka ,91.76,7.96,0,0,0,0,0,0,0,0
Chile ,85.86,13.9,0,0,0,0,0,0,0,0
Saudi Arabia ,55.09,44.78,0,0,0,0,0,0,0,0
Vietnam ,64.65,34.7,0,0,0,0,0,0,0,0
Hungary ,78.46,20.65,0,0,0,0,0,0,0,0
Morocco ,72.52,27.1,0,0,0,0,0,0,0,0
Bulgaria ,84.63,15.04,0,0,0,0,0,0,0,0
Greece ,81.06,16.76,1.99,0,0,0,0,0,0,0
Sweden ,46.02,53.44,0,0,0,0,0,0,0,0
Israel ,76.41,23.23,0,0,0,0,0,0,0,0
Serbia ,80.93,18.73,0,0,0,0,0,0,0,0
