Continent,Android,Year
India,95.78,2021
United States of America,42.48,2021
Turkey,85.49,2021
Indonesia,91.14,2021
China,78.03,2021
Taiwan,46.92,2021
Pakistan,94.39,2021
Poland,93.33,2021
Malaysia,74.57,2021
United Kingdom,49.72,2021
Brazil,86.24,2021
South Africa,84.09,2021
Thailand,71.56,2021
Germany,66.8,2021
Mexico,80.32,2021
South Korea,71.92,2021
Spain,78.16,2021
Egypt,78.06,2021
Nepal,93.04,2021
Iran,93.03,2021
Singapore,72.99,2021
Bangladesh,95.47,2021
France,68.29,2021
Canada,46.46,2021
Italy,76.81,2021
Argentina,91.82,2021
Philippines,88.09,2021
Australia,42.53,2021
Nigeria,86.2,2021
Netherlands,61.66,2021
Japan,32.02,2021
Russia,79.78,2021
Hong Kong,50.69,2021
Romania,79.95,2021
Colombia,89.79,2021
Sri Lanka,91.76,2021
Chile,85.86,2021
Saudi Arabia,55.09,2021
Vietnam,64.65,2021
Hungary,78.46,2021
Morocco,72.52,2021
Bulgaria,84.63,2021
Greece,81.06,2021
Sweden,46.02,2021
Israel,76.41,2021
Serbia,80.93,2021
Peru,92.17,2021
United Arab Emirates,73.13,2021
Ukraine,84.4,2021
Kenya,88.99,2021
Ireland,50.35,2021
Algeria,95.43,2021
Iraq,78.13,2021
Belgium,60.6,2021
Czechia,77.6,2021
Portugal,73.96,2021
New Zealand,54.09,2021
Tunisia,94.82,2021
Latvia,79.57,2021
Ecuador,87.41,2021
Croatia,83.19,2021
Norway,41.56,2021
Qatar,78.29,2021
Venezuela,92.73,2021
Austria,64.7,2021
Switzerland,45.78,2021
Ghana,78.83,2021
Azerbaijan,85.08,2021
Guatemala,86.51,2021
Senegal,80.3,2021
Albania,54.3,2021
Paraguay,93.48,2021
Jordan,85.12,2021
Denmark,40.77,2021
Finland,68.25,2021
Bolivia,94.77,2021
Tanzania,63.96,2021
Slovakia,77.01,2021
Bosnia and Herzegovina,89.57,2021
Kuwait,57.47,2021
Macedonia,79.83,2021
Oman,77.31,2021
Costa Rica,80.49,2021
Syria,95.85,2021
Myanmar,84.21,2021
Georgia,72.09,2021
Dominican Rep.,70.17,2021
Sudan,92.59,2021
S. Sudan,92.59,2021
Panama,83.03,2021
Libya,89.89,2021
Lebanon,78.46,2021
Uzbekistan,90.83,2021
El Salvador,88.64,2021
Ethiopia,88.96,2021
Cyprus,73.45,2021
Lithuania,71.9,2021
Kazakhstan,78.26,2021
Yemen,95.67,2021
Uruguay,85.53,2021
Cambodia,50.73,2021
Palestine,87.56,2021
Belarus,84.51,2021
Slovenia,78.65,2021
Macao,32.53,2021
Honduras,83.53,2021
Zambia,87.72,2021
Cuba,90.48,2021
Mozambique,86.7,2021
Cameroon,86.28,2021
Uganda,75.82,2021
Montenegro,82.19,2021
Bahrain,70.63,2021
Mauritius,90.13,2021
Trinidad and Tobago,80.26,2021
Nicaragua,90.35,2021
Jamaica,74.83,2021
Dem. Rep. Congo,81.17,2021
Puerto Rico,54.58,2021
Angola,82.69,2021
Zimbabwe,84.92,2021
Haiti,87.83,2021
Côte d'Ivoire,74.86,2021
Mongolia,68.31,2021
Brunei Darussalam,74.11,2021
Namibia,89.92,2021
Laos,80.4,2021
Maldives,70.56,2021
Moldova,80.14,2021
Bhutan,88.39,2021
Bahamas,62.46,2021
Somalia,89.99,2021
Afghanistan,89.15,2021
Estonia,65.37,2021
Mali,86.04,2021
Guinea,84.12,2021
Luxembourg,58.6,2021
Armenia,71.22,2021
Botswana,90.58,2021
Burkina Faso,90.73,2021
Rwanda,75.16,2021
Benin,87.59,2021
Malta,68.46,2021
Kyrgyz Republic,86.66,2021
Mauritania,88.76,2021
Fiji,91.53,2021
Malawi,87.77,2021
Reunion,70.43,2021
Togo,88.33,2021
Suriname,82.94,2021
Iceland,50.64,2021
Gabon,86.5,2021
Papua New Guinea,95.76,2021
Niger,93.18,2021
Madagascar,85.46,2021
Timor-Leste,95.79,2021
Guyana,82.67,2021
Congo,83.64,2021
Sierra Leone,79.85,2021
Lesotho,95.38,2021
Barbados,76.72,2021
Eritrea,87.91,2021
eSwatini,93.6,2021
Guadeloupe,69.85,2021
Belize,76.17,2021
Saint Lucia,79.73,2021
Martinique,71.73,2021
Liberia,81.96,2021
Gambia,81.21,2021
Aruba,55.98,2021
Chad,92.82,2021
Antigua and Barbuda,76.28,2021
Cape Verde,85.55,2021
Jersey,31.83,2021
Guam,47.09,2021
Tajikistan,88.06,2021
Isle of Man,43.25,2021
Djibouti,90.33,2021
Seychelles,85.57,2021
Turkmenistan,91.11,2021
French Polynesia,65.05,2021
French Guiana,74.84,2021
New Caledonia,72.71,2021
Burundi,78.39,2021
Guernsey,38.4,2021
Bermuda,35.61,2021
Cayman Islands,45.6,2021
Guinea-Bissau,94.13,2021
Grenada,79.51,2021
Andorra,64.8,2021
Solomon Islands,90.64,2021
Saint Vincent and the Grenadines,83.94,2021
Comoros,92.73,2021
Anguilla,72.21,2021
Saint Kitts and Nevis,72.43,2021
Samoa,91.02,2021
Eq. Guinea,81.72,2021
Vanuatu,87.76,2021
Dominica,87.05,2021
Cook Islands,70.56,2021
American Samoa,71.18,2021
Faroe Islands,39.72,2021
Central African Rep.,90.76,2021
Northern Mariana Islands,66.06,2021
Gibraltar,47.16,2021
Turks and Caicos Islands,41.09,2021
Monaco,35.22,2021
British Virgin Islands,62.58,2021
Tonga,83.87,2021
Palau,73.25,2021
Greenland,47.84,2021
Mayotte,73.87,2021
Liechtenstein,41.09,2021
San Marino,74.32,2021
Micronesia,77.18,2021
Sao Tome and Principe,81.03,2021
Kiribati,98.01,2021
Nauru,92,2021
Marshall Islands,67.98,2021
Falkland Is.,74.43,2021
Saint Martin,53.81,2021
Saint Pierre and Miquelon,49.12,2021
Tuvalu,96.32,2021
Montserrat,77.82,2021
Niue,97.06,2021
Bouvet Island (Bouvetoya),95.43,2021
Wallis and Futuna,79.35,2021
Holy See (Vatican City State),54.21,2021
Norfolk Island,57.59,2021
Saint Barthelemy,12.92,2021
W. Sahara ,96.3,2021
Saint Helena,97.02,2021
Tokelau,89.21,2021
North Korea,75,2021
Svalbard & Jan Mayen Islands,84.79,2021
Christmas Island,100,2021
Pitcairn Islands,100,2021
South Georgia and the South Sandwich Islands,100,2021
India,90.34,2019
United States of America,43.26,2019
Turkey,82.6,2019
Indonesia,92.9,2019
Poland,95.7,2019
Thailand,77.8,2019
Pakistan,92.2,2019
Spain,79.13,2019
China,72.79,2019
Germany,69.58,2019
United Kingdom,48.46,2019
Bangladesh,94.75,2019
Mexico,80.91,2019
Argentina,90.71,2019
Taiwan,45.43,2019
South Korea,66.48,2019
Brazil,84.68,2019
Malaysia,77.57,2019
France,67.21,2019
Italy,73.77,2019
South Africa,81.86,2019
Canada,43.31,2019
Egypt,89.25,2019
Philippines,81.91,2019
Australia,41.36,2019
Saudi Arabia,70.95,2019
Netherlands,60.4,2019
Greece,83.97,2019
Romania,80.93,2019
Nepal,93.18,2019
Iran,87.87,2019
Singapore,57.87,2019
Colombia,82.84,2019
Nigeria,78.69,2019
Japan,24.4,2019
Russia,71.38,2019
United Arab Emirates,78.48,2019
Bosnia and Herzegovina,90.6,2019
Hungary,77.68,2019
Serbia,88.33,2019
Sweden,41.72,2019
Chile,81.91,2019
Israel,77.77,2019
Iraq,79.44,2019
Bulgaria,84.96,2019
Sri Lanka,88.73,2019
Morocco,87.02,2019
Hong Kong,44.2,2019
Algeria,95.81,2019
Ghana,81.22,2019
Peru,87.99,2019
Myanmar,91.06,2019
Ireland,52.16,2019
Belgium,63.07,2019
Kenya,81.04,2019
Portugal,74.32,2019
Austria,68.88,2019
Oman,88.26,2019
Paraguay,95.19,2019
Ukraine,77,2019
Vietnam,59.41,2019
Norway,52.74,2019
Yemen,94.21,2019
Jordan,84.46,2019
Switzerland,46.38,2019
Qatar,82.11,2019
Croatia,85.04,2019
Denmark,41.9,2019
Kuwait,70.4,2019
Azerbaijan,84.7,2019
Czechia,76.78,2019
Ecuador,83.68,2019
New Zealand,50.61,2019
Guatemala,86.54,2019
Venezuela,85.22,2019
Finland,70.43,2019
Senegal,84.81,2019
Albania,65.03,2019
Bolivia,93.26,2019
Syria,96.85,2019
Slovakia,79.78,2019
Moldova,88.55,2019
Dominican Rep.,76.89,2019
Tunisia,90.35,2019
Lebanon,77.91,2019
Uruguay,82.18,2019
Costa Rica,78,2019
Ethiopia,86.42,2019
Belarus,85.98,2019
Puerto Rico,68.3,2019
Lithuania,79.42,2019
Macedonia,84.61,2019
Tanzania,80.03,2019
Laos,75.11,2019
Madagascar,46.86,2019
El Salvador,88.72,2019
Slovenia,80.68,2019
Libya,93.56,2019
Kazakhstan,77.39,2019
Panama,80.6,2019
Georgia,80.18,2019
Cyprus,77.78,2019
Palestine,89.23,2019
Côte d'Ivoire,77.07,2019
Sudan,86.96,2019
Bahrain,78.21,2019
Mozambique,77.1,2019
Zambia,82.92,2019
Montenegro,85.38,2019
Cameroon,81.82,2019
Honduras,84.84,2019
Afghanistan,93.57,2019
Uzbekistan,85.26,2019
Zimbabwe,84.35,2019
